question_id,phase,exact_prompt,answer_identifiers_or_missing_status,intended_construct,actual_dimensions_tested,commander_relevance,wording_clarity,abstraction_burden,double_barreled_status,desirability_or_steering_risk,lore_dependence,mood_dependence,answer_overlap,repeated_signal_group,correlated_signal_group,uncertainty_representation,false_positive_risk,false_negative_risk,scoring_consistency,explanation_consistency,evidence_authority,final_disposition,remediation_implication
hall_WITCH_patient_cultivation,hall,A small investment could become inevitable if it survives long enough. What makes that patience trustworthy?,"[""MISSING:hall_WITCH_patient_cultivation#answer-1"",""MISSING:hall_WITCH_patient_cultivation#answer-2"",""MISSING:hall_WITCH_patient_cultivation#answer-3"",""MISSING:hall_WITCH_patient_cultivation#answer-4""]",Differentiate WITCH; authored signals: patient cultivation protected by structure | bant order without Black ambition | sultai leverage without White structure | ink commons over private inevitability,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.28,"[""procedure-and-order"",""uncontrolled-editorial-construct""]",overlapping:procedure-and-order+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 6,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_WITCH_missing_red,hall,"The plan is alive, protected, and ambitious. What proves it is Witch rather than a nearby shell or a Red-touched surge?","[""MISSING:hall_WITCH_missing_red#answer-1"",""MISSING:hall_WITCH_missing_red#answer-2"",""MISSING:hall_WITCH_missing_red#answer-3"",""MISSING:hall_WITCH_missing_red#answer-4""]",Differentiate WITCH; authored signals: missing Red as active cultivation boundary | glint surge with Red present | dune pressure with Red present | generic counters shortcut,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,MEDIUM,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.179,"[""uncontrolled-editorial-construct"",""speed-and-action""]",overlapping:uncontrolled-editorial-construct+speed-and-action,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 6,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_WR_protection,hall,The rules are too slow to prevent clear harm. What does virtue require?,"[""MISSING:hall_WR_protection#answer-1"",""MISSING:hall_WR_protection#answer-2"",""MISSING:hall_WR_protection#answer-3"",""MISSING:hall_WR_protection#answer-4""]",Differentiate WR; authored signals: protective action | procedural restraint | historical warning | collective harmony,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM-HIGH,MEDIUM,NO,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.095,"[""protection-and-duty"",""uncontrolled-editorial-construct"",""community-and-belonging""]",overlapping:protection-and-duty+uncontrolled-editorial-construct+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_LOREHOLD_history,hall,"A crisis demands action, but the past may contain a warning. What comes first?","[""MISSING:hall_LOREHOLD_history#answer-1"",""MISSING:hall_LOREHOLD_history#answer-2"",""MISSING:hall_LOREHOLD_history#answer-3"",""MISSING:hall_LOREHOLD_history#answer-4""]",Differentiate LOREHOLD; authored signals: historical field evidence | present-tense justice | precedent into law | historical pattern,"[""social-behavior"",""aesthetic-or-narrative-preference"",""philosophical-preference"",""lore-or-setting-proxy""]",LOW,LOW,HIGH,NO,HIGH,PRESENT,PRESENT,0.118,"[""uncontrolled-editorial-construct"",""procedure-and-order""]",overlapping:uncontrolled-editorial-construct+procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_PRISMARI_expression,hall,A work can be technically correct or emotionally unforgettable. What matters more?,"[""MISSING:hall_PRISMARI_expression#answer-1"",""MISSING:hall_PRISMARI_expression#answer-2"",""MISSING:hall_PRISMARI_expression#answer-3"",""MISSING:hall_PRISMARI_expression#answer-4""]",Differentiate PRISMARI; authored signals: elemental artistry | mechanistic curiosity | dangerous spectacle | verbal precision,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,MEDIUM-HIGH,LOW,NO,HIGH,NOT-EXPLICIT,PRESENT,0.059,"[""expression-and-performance"",""uncontrolled-editorial-construct""]",overlapping:expression-and-performance+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_QUANDRIX_pattern,hall,Reality feels chaotic. What guide do you trust most?,"[""MISSING:hall_QUANDRIX_pattern#answer-1"",""MISSING:hall_QUANDRIX_pattern#answer-2"",""MISSING:hall_QUANDRIX_pattern#answer-3"",""MISSING:hall_QUANDRIX_pattern#answer-4""]",Differentiate QUANDRIX; authored signals: mathematical abstraction | adaptive biology | experimental proof | historical evidence,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""lore-or-setting-proxy""]",LOW,LOW,HIGH,NO,HIGH,PRESENT,PRESENT,0.095,"[""speed-and-action"",""growth-and-nature"",""experiment-and-invention"",""uncontrolled-editorial-construct""]",overlapping:speed-and-action+growth-and-nature+experiment-and-invention+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_SILVERQUILL_words,hall,A room is moving in the wrong direction. How do you redirect it?,"[""MISSING:hall_SILVERQUILL_words#answer-1"",""MISSING:hall_SILVERQUILL_words#answer-2"",""MISSING:hall_SILVERQUILL_words#answer-3"",""MISSING:hall_SILVERQUILL_words#answer-4""]",Differentiate SILVERQUILL; authored signals: rhetorical force | contractual speech | formal ruling | elemental expression,"[""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM-HIGH,LOW,NO,HIGH,NOT-EXPLICIT,PRESENT,0.176,"[""uncontrolled-editorial-construct"",""expression-and-performance""]",overlapping:uncontrolled-editorial-construct+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_WITHERBLOOM_essence,hall,"A cure requires something messy, costly, or morally uncomfortable. What guides you?","[""MISSING:hall_WITHERBLOOM_essence#answer-1"",""MISSING:hall_WITHERBLOOM_essence#answer-2"",""MISSING:hall_WITHERBLOOM_essence#answer-3"",""MISSING:hall_WITHERBLOOM_essence#answer-4""]",Differentiate WITHERBLOOM; authored signals: messy vitality ecology | rot reclamation | biodesign improvement | communal nurture,"[""social-behavior""]",HIGH,MEDIUM-HIGH,LOW,NO,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.158,"[""uncontrolled-editorial-construct"",""decay-and-renewal""]",overlapping:uncontrolled-editorial-construct+decay-and-renewal,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_COLORLESS_outside_wubrg,hall,"When the color wheel stops being the right language, what makes the restriction feel worth choosing?","[""MISSING:hall_COLORLESS_outside_wubrg#answer-1"",""MISSING:hall_COLORLESS_outside_wubrg#answer-2"",""MISSING:hall_COLORLESS_outside_wubrg#answer-3""]",Differentiate COLORLESS; authored signals: outside-WUBRG precision | artifact engine without strict Colorless boundary | five-color fullness,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""lore-or-setting-proxy""]",HIGH,MEDIUM-HIGH,LOW,NO,HIGH,PRESENT,PRESENT,0.074,"[""uncontrolled-editorial-construct"",""expression-and-performance""]",overlapping:uncontrolled-editorial-construct+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 8,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_COLORLESS_branch_boundary,hall,Which branch keeps its shape when Colorless is not allowed to collapse into a catch-all?,"[""MISSING:hall_COLORLESS_branch_boundary#answer-1"",""MISSING:hall_COLORLESS_branch_boundary#answer-2"",""MISSING:hall_COLORLESS_branch_boundary#answer-3"",""MISSING:hall_COLORLESS_branch_boundary#answer-4""]",Differentiate COLORLESS; authored signals: strict branch separation | artifact-only false positive | five-color Eldrazi false positive | Phyrexia distinction gap,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.1,"[""uncontrolled-editorial-construct"",""expression-and-performance""]",overlapping:uncontrolled-editorial-construct+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 8,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_WUBRG_full_spectrum,hall,"When every color is available, what keeps the plan from becoming everything at once?","[""MISSING:hall_WUBRG_full_spectrum#answer-1"",""MISSING:hall_WUBRG_full_spectrum#answer-2"",""MISSING:hall_WUBRG_full_spectrum#answer-3""]",Differentiate WUBRG; authored signals: all five colors present with roles | generic goodstuff false positive | outside-WUBRG restriction over fullness,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk""]",HIGH,MEDIUM-HIGH,MEDIUM,NO,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.097,"[""uncontrolled-editorial-construct""]",uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 6,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_COLORLESS_WUBRG,crucible,"When the color wheel is in view, is the answer strongest because it steps outside color, or because every color has a negotiated role?","[""MISSING:crucible_COLORLESS_WUBRG#answer-1"",""MISSING:crucible_COLORLESS_WUBRG#answer-2""]",Broad Gate routing; authored signals: chosen outside-WUBRG restriction | all five colors present and negotiated,"[""social-behavior""]",HIGH,MEDIUM,LOW,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.097,"[""uncontrolled-editorial-construct""]",uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_W_WU,crucible,"Does dependable protection begin with a shelter people can trust, or a process nobody can bend?","[""MISSING:crucible_W_WU#answer-1"",""MISSING:crucible_W_WU#answer-2""]",Broad Gate routing; authored signals: shelter before procedure | procedure before shelter,"[""social-behavior""]",MEDIUM,MEDIUM-HIGH,LOW,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.118,"[""procedure-and-order""]",procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_W_WR,crucible,"When people are unsafe, is the first duty to build the standard or step in right now?","[""MISSING:crucible_W_WR#answer-1"",""MISSING:crucible_W_WR#answer-2""]",Broad Gate routing; authored signals: reliable protection | immediate duty,"[""social-behavior""]",LOW,LOW,HIGH,NO,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.048,"[""protection-and-duty""]",protection-and-duty,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_W_WG,crucible,"Does safety begin with shared standards, or with a community that already knows how to hold each other?","[""MISSING:crucible_W_WG#answer-1"",""MISSING:crucible_W_WG#answer-2""]",Broad Gate routing; authored signals: standards before belonging | belonging before standards,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",MEDIUM,MEDIUM-HIGH,LOW,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.056,"[""community-and-belonging""]",community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_U_WU,crucible,"Does trust begin with understanding the system, or with a rule no one can bend?","[""MISSING:crucible_U_WU#answer-1"",""MISSING:crucible_U_WU#answer-2""]",Broad Gate routing; authored signals: model before procedure | procedure before model,"[""social-behavior""]",LOW,LOW,HIGH,NO,MEDIUM,NOT-EXPLICIT,PRESENT,0.214,"[""procedure-and-order""]",procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_U_UB,crucible,"Does information matter because it improves the future, or because no one knows you have it?","[""MISSING:crucible_U_UB#answer-1"",""MISSING:crucible_U_UB#answer-2""]",Broad Gate routing; authored signals: knowledge as possibility | knowledge as secrecy,"[""philosophical-preference""]",LOW,LOW,HIGH,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0,"[""knowledge-and-deliberation""]",knowledge-and-deliberation,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_U_UR,crucible,"When the idea is promising but unstable, do you wait for the model or fire the prototype?","[""MISSING:crucible_U_UR#answer-1"",""MISSING:crucible_U_UR#answer-2""]",Broad Gate routing; authored signals: predictive patience | experimental spark,"[""social-behavior""]",HIGH,MEDIUM-HIGH,LOW,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.059,"[""uncontrolled-editorial-construct"",""experiment-and-invention""]",overlapping:uncontrolled-editorial-construct+experiment-and-invention,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_U_UG,crucible,"Should the next change refine the model, or alter the living thing that must survive?","[""MISSING:crucible_U_UG#answer-1"",""MISSING:crucible_U_UG#answer-2""]",Broad Gate routing; authored signals: engineered possibility | living adaptation,"[""philosophical-preference""]",MEDIUM,MEDIUM-HIGH,LOW,NO,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.053,"[""uncontrolled-editorial-construct"",""growth-and-nature""]",overlapping:uncontrolled-editorial-construct+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,NEEDS-EVIDENCE,Establish evidence and falsification contracts before deciding whether to retain.
crucible_B_UB,crucible,"When power is available, do you pay the cost directly or wait until hidden information makes the move safer?","[""MISSING:crucible_B_UB#answer-1"",""MISSING:crucible_B_UB#answer-2""]",Broad Gate routing; authored signals: direct cost | hidden timing,"[""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM,LOW,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.105,"[""agency-and-leverage"",""uncontrolled-editorial-construct""]",overlapping:agency-and-leverage+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_B_BR,crucible,"Is the cost worth paying because it keeps control, or because it finally releases restraint?","[""MISSING:crucible_B_BR#answer-1"",""MISSING:crucible_B_BR#answer-2""]",Broad Gate routing; authored signals: controlled cost | unrestrained release,"[""psychographic-or-motivational-inference-risk""]",LOW,LOW,HIGH,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.2,"[""agency-and-leverage"",""uncontrolled-editorial-construct""]",overlapping:agency-and-leverage+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_B_BG,crucible,"Does the graveyard matter because it belongs to your plan, or because decay feeds the next life?","[""MISSING:crucible_B_BG#answer-1"",""MISSING:crucible_B_BG#answer-2""]",Broad Gate routing; authored signals: graveyard leverage | predatory cycle,"[""gameplay-or-deck-behavior"",""social-behavior""]",HIGH,MEDIUM-HIGH,LOW,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.125,"[""agency-and-leverage"",""uncontrolled-editorial-construct""]",overlapping:agency-and-leverage+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
crucible_B_WB,crucible,"Would you rather own the leverage privately, or bind it into an obligation no one can escape?","[""MISSING:crucible_B_WB#answer-1"",""MISSING:crucible_B_WB#answer-2""]",Broad Gate routing; authored signals: private sovereignty | binding obligation,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",LOW,LOW,HIGH,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.176,"[""uncontrolled-editorial-construct""]",uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_R_WR,crucible,"Is the urgent action about freeing the honest impulse, or protecting someone from the next blow?","[""MISSING:crucible_R_WR#answer-1"",""MISSING:crucible_R_WR#answer-2""]",Broad Gate routing; authored signals: honest spark | protective intervention,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",LOW,LOW,HIGH,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.25,"[""uncontrolled-editorial-construct"",""protection-and-duty""]",overlapping:uncontrolled-editorial-construct+protection-and-duty,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_R_UR,crucible,"When the spark arrives, do you trust the feeling now or build the test that teaches what it can become?","[""MISSING:crucible_R_UR#answer-1"",""MISSING:crucible_R_UR#answer-2""]",Broad Gate routing; authored signals: present impulse | crafted experiment,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",LOW,LOW,HIGH,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.05,"[""speed-and-action"",""experiment-and-invention""]",overlapping:speed-and-action+experiment-and-invention,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_R_BR,crucible,"Does release matter because it lets you breathe, or because breaking restraint must unsettle the room?","[""MISSING:crucible_R_BR#answer-1"",""MISSING:crucible_R_BR#answer-2""]",Broad Gate routing; authored signals: freedom without cruelty | transgressive spectacle,"[""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",LOW,LOW,HIGH,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.095,"[""uncontrolled-editorial-construct"",""expression-and-performance""]",overlapping:uncontrolled-editorial-construct+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_R_RG,crucible,"Is the impulse true because you feel it now, or because the wild body already knows the path?","[""MISSING:crucible_R_RG#answer-1"",""MISSING:crucible_R_RG#answer-2""]",Broad Gate routing; authored signals: emotion as truth | wild instinct,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",LOW,LOW,HIGH,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.105,"[""expression-and-performance"",""growth-and-nature""]",overlapping:expression-and-performance+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_G_WG,crucible,"Does belonging begin with accepting natural place, or with a community choosing to hold together?","[""MISSING:crucible_G_WG#answer-1"",""MISSING:crucible_G_WG#answer-2""]",Broad Gate routing; authored signals: natural belonging | communal belonging,"[""social-behavior""]",LOW,LOW,HIGH,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.053,"[""community-and-belonging""]",community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_G_UG,crucible,"Should growth unfold from inherent nature, or should the living form be deliberately adapted?","[""MISSING:crucible_G_UG#answer-1"",""MISSING:crucible_G_UG#answer-2""]",Broad Gate routing; authored signals: inherent growth | living adaptation,"[""philosophical-preference""]",LOW,LOW,HIGH,YES,LOW-MEDIUM,NOT-EXPLICIT,NOT-EXPLICIT,0.05,"[""growth-and-nature""]",growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
crucible_G_BG,crucible,"Does the cycle matter because life grows in season, or because the discarded can be reclaimed?","[""MISSING:crucible_G_BG#answer-1"",""MISSING:crucible_G_BG#answer-2""]",Broad Gate routing; authored signals: life cycle without extraction | reclamation first,"[""gameplay-or-deck-behavior"",""social-behavior"",""aesthetic-or-narrative-preference""]",HIGH,MEDIUM-HIGH,LOW,YES,MEDIUM,NOT-EXPLICIT,PRESENT,0.048,"[""decay-and-renewal"",""uncontrolled-editorial-construct""]",overlapping:decay-and-renewal+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 0,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
